,datenumber,datestr,Week,inflation,chime,varo,mobilebank
235,2022-03-10,2022-03-10,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
234,2022-03-09,2022-03-09,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
233,2022-03-08,2022-03-08,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
232,2022-03-07,2022-03-07,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
231,2022-03-06,2022-03-06,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
230,2022-03-05,2022-03-05,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
229,2022-03-04,2022-03-04,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
228,2022-03-03,2022-03-03,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
227,2022-03-02,2022-03-02,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
226,2022-03-01,2022-03-01,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
225,2022-02-28,2022-02-28,3/6/2022,75.0,7.714285714285714,1.5714285714285714,11.428571428571429
224,2022-02-27,2022-02-27,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
223,2022-02-26,2022-02-26,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
222,2022-02-25,2022-02-25,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
221,2022-02-24,2022-02-24,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
220,2022-02-23,2022-02-23,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
219,2022-02-22,2022-02-22,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
218,2022-02-21,2022-02-21,2/27/2022,51.0,8.285714285714286,1.5714285714285714,12.285714285714286
217,2022-02-20,2022-02-20,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
216,2022-02-19,2022-02-19,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
215,2022-02-18,2022-02-18,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
214,2022-02-17,2022-02-17,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
213,2022-02-16,2022-02-16,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
212,2022-02-15,2022-02-15,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
211,2022-02-14,2022-02-14,2/20/2022,49.0,9.0,1.7142857142857142,14.285714285714286
210,2022-02-13,2022-02-13,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
209,2022-02-12,2022-02-12,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
208,2022-02-11,2022-02-11,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
207,2022-02-10,2022-02-10,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
206,2022-02-09,2022-02-09,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
205,2022-02-08,2022-02-08,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
204,2022-02-07,2022-02-07,2/13/2022,55.0,8.428571428571429,1.4285714285714286,12.285714285714286
203,2022-02-06,2022-02-06,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
202,2022-02-05,2022-02-05,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
201,2022-02-04,2022-02-04,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
200,2022-02-03,2022-02-03,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
199,2022-02-02,2022-02-02,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
198,2022-02-01,2022-02-01,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
197,2022-01-31,2022-01-31,2/6/2022,64.0,7.857142857142857,1.4285714285714286,13.0
196,2022-01-30,2022-01-30,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
195,2022-01-29,2022-01-29,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
194,2022-01-28,2022-01-28,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
193,2022-01-27,2022-01-27,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
192,2022-01-26,2022-01-26,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
191,2022-01-25,2022-01-25,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
190,2022-01-24,2022-01-24,1/30/2022,34.0,8.142857142857142,1.4285714285714286,12.857142857142858
189,2022-01-23,2022-01-23,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
188,2022-01-22,2022-01-22,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
187,2022-01-21,2022-01-21,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
186,2022-01-20,2022-01-20,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
185,2022-01-19,2022-01-19,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
184,2022-01-18,2022-01-18,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
183,2022-01-17,2022-01-17,1/23/2022,47.0,7.714285714285714,1.2857142857142858,11.0
182,2022-01-16,2022-01-16,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
181,2022-01-15,2022-01-15,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
180,2022-01-14,2022-01-14,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
179,2022-01-13,2022-01-13,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
178,2022-01-12,2022-01-12,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
177,2022-01-11,2022-01-11,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
176,2022-01-10,2022-01-10,1/16/2022,35.0,7.142857142857143,1.1428571428571428,11.571428571428571
175,2022-01-09,2022-01-09,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
174,2022-01-08,2022-01-08,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
173,2022-01-07,2022-01-07,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
172,2022-01-06,2022-01-06,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
171,2022-01-05,2022-01-05,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
170,2022-01-04,2022-01-04,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
169,2022-01-03,2022-01-03,1/9/2022,48.0,7.857142857142857,1.1428571428571428,8.571428571428571
168,2022-01-02,2022-01-02,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
167,2022-01-01,2022-01-01,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
166,2021-12-31,2021-12-31,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
165,2021-12-30,2021-12-30,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
164,2021-12-29,2021-12-29,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
163,2021-12-28,2021-12-28,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
162,2021-12-27,2021-12-27,1/2/2022,32.0,7.714285714285714,1.2857142857142858,10.142857142857142
161,2021-12-26,2021-12-26,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
160,2021-12-25,2021-12-25,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
159,2021-12-24,2021-12-24,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
158,2021-12-23,2021-12-23,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
157,2021-12-22,2021-12-22,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
156,2021-12-21,2021-12-21,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
155,2021-12-20,2021-12-20,12/26/2021,26.0,7.0,1.1428571428571428,9.714285714285714
154,2021-12-19,2021-12-19,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
